player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,fastest_serve,avg_1st_serve,avg_2nd_serve,short_rallies_pts_won,medium_rallies_pts_won,long_rallies_pts_won,medium_rallies_pts_played,short_rallies_pts_played,long_rallies_pts_played
T.Zidansek,S.Cirstea,french_open,2021,4,134,1,3,55/81 (68%),37/55 (67%),15/26 (58%),4/8 (50%),3/4 (75%),21/53 (40%),20,20,73,105 mph,95 mph,82 mph,42,22,9,78,40,16
S.Cirstea,T.Zidansek,french_open,2021,4,134,1,2,28/53 (53%),18/28 (64%),14/25 (56%),10/18 (56%),1/7 (14%),29/81 (36%),20,28,61,105 mph,100 mph,82 mph,36,18,7,78,40,16
M.Vondrousova,P.Badosa,french_open,2021,4,173,2,6,60/92 (65%),35/60 (58%),16/32 (50%),6/10 (60%),3/9 (33%),31/81 (38%),26,39,82,109 mph,95 mph,79 mph,46,23,13,88,50,35
P.Badosa,M.Vondrousova,french_open,2021,4,173,2,3,54/81 (67%),37/54 (69%),13/27 (48%),9/16 (56%),5/10 (50%),41/92 (45%),30,30,91,114 mph,99 mph,80 mph,42,27,22,88,50,35
M.Linette,O.Jabeur,french_open,2021,3,139,0,6,49/78 (63%),29/49 (59%),7/29 (24%),13/22 (59%),2/3 (67%),21/61 (34%),16,27,57,103 mph,96 mph,82 mph,33,16,7,88,38,12
O.Jabeur,M.Linette,french_open,2021,3,139,4,0,29/61 (48%),20/29 (69%),20/32 (63%),6/10 (60%),6/14 (43%),42/78 (54%),26,21,82,109 mph,96 mph,75 mph,55,22,5,88,38,12
C.Gauff,J.Brady,french_open,2021,3,35,2,1,12/19 (63%),12/12 (100%),4/7 (57%),3/3 (100%),2/3 (67%),9/16 (56%),7,1,25,118 mph,98 mph,70 mph,15,9,0,22,11,1
J.Brady,C.Gauff,french_open,2021,3,35,0,1,9/16 (56%),6/9 (67%),1/7 (14%),1/1 (100%),0/0 (0%),3/19 (16%),5,5,10,110 mph,106 mph,80 mph,7,2,1,22,11,1
S.Stephens,K.Muchova,french_open,2021,3,150,0,0,69/82 (84%),46/69 (67%),4/13 (31%),6/13 (46%),4/7 (57%),32/68 (47%),22,25,82,105 mph,86 mph,74 mph,28,28,26,59,43,48
K.Muchova,S.Stephens,french_open,2021,3,150,1,1,46/68 (68%),26/46 (57%),10/22 (45%),10/28 (36%),2/6 (33%),32/82 (39%),23,32,68,108 mph,96 mph,78 mph,31,15,22,59,43,48
B.Krejcikova,E.Svitolina,french_open,2021,3,143,2,1,53/77 (69%),36/53 (68%),6/24 (25%),14/18 (78%),6/13 (46%),36/66 (55%),38,28,78,108 mph,93 mph,83 mph,24,37,17,61,56,26
E.Svitolina,B.Krejcikova,french_open,2021,3,143,3,2,39/66 (59%),20/39 (51%),10/27 (37%),6/11 (55%),2/7 (29%),35/77 (45%),20,19,65,108 mph,99 mph,77 mph,37,19,9,61,56,26
S.Kenin,J.Pegula,french_open,2021,3,202,6,10,57/92 (62%),37/57 (65%),14/35 (40%),11/16 (69%),7/17 (41%),55/110 (50%),48,41,106,97 mph,90 mph,86 mph,67,31,7,130,58,13
J.Pegula,S.Kenin,french_open,2021,3,202,4,6,67/110 (61%),42/67 (63%),13/43 (30%),11/18 (61%),5/10 (50%),41/92 (45%),18,26,96,108 mph,95 mph,82 mph,63,27,6,130,58,13
M.Sakkari,E.Mertens,french_open,2021,3,235,9,4,70/116 (60%),46/70 (66%),23/46 (50%),9/18 (50%),6/15 (40%),51/119 (43%),53,48,120,117 mph,101 mph,86 mph,60,45,15,117,81,37
E.Mertens,M.Sakkari,french_open,2021,3,235,2,4,79/119 (66%),47/79 (59%),21/40 (53%),15/22 (68%),3/12 (25%),47/116 (41%),31,38,115,114 mph,98 mph,85 mph,57,36,22,117,81,37
M.Kostyuk,V.Gracheva,french_open,2021,3,95,5,2,35/51 (69%),30/35 (86%),7/16 (44%),5/7 (71%),4/6 (67%),24/44 (55%),17,11,61,111 mph,92 mph,78 mph,32,18,11,49,31,15
V.Gracheva,M.Kostyuk,french_open,2021,3,95,2,6,19/44 (43%),10/19 (53%),10/25 (40%),3/7 (43%),0/3 (0%),14/51 (27%),14,29,34,109 mph,99 mph,82 mph,17,13,4,49,31,15
A.Kontaveit,I.Swiatek,french_open,2021,3,121,4,3,37/58 (64%),24/37 (65%),8/21 (38%),12/16 (75%),1/2 (50%),20/63 (32%),31,23,52,104 mph,98 mph,80 mph,28,23,1,74,38,9
I.Swiatek,A.Kontaveit,french_open,2021,3,121,2,3,36/63 (57%),27/36 (75%),16/27 (59%),3/6 (50%),4/5 (80%),26/58 (45%),21,12,69,112 mph,102 mph,79 mph,46,15,8,74,38,9
S.Williams,D.Collins,french_open,2021,3,119,5,5,35/59 (59%),28/35 (80%),9/24 (38%),8/12 (67%),4/8 (50%),27/60 (45%),22,20,64,118 mph,103 mph,88 mph,45,17,2,79,36,4
D.Collins,S.Williams,french_open,2021,3,119,1,3,28/60 (47%),22/28 (79%),11/32 (34%),4/6 (67%),2/4 (50%),22/59 (37%),18,21,55,106 mph,100 mph,82 mph,34,19,2,79,36,4
E.Rybakina,E.Vesnina,french_open,2021,3,100,12,2,30/47 (64%),25/30 (83%),11/17 (65%),6/7 (86%),4/9 (44%),27/53 (51%),26,13,63,116 mph,106 mph,79 mph,44,12,6,69,23,7
E.Vesnina,E.Rybakina,french_open,2021,3,100,1,1,39/53 (74%),19/39 (49%),7/14 (50%),3/5 (60%),1/1 (100%),11/47 (23%),9,18,37,106 mph,99 mph,90 mph,25,11,1,69,23,7
V.Azarenka,M.Keys,french_open,2021,3,106,0,2,36/50 (72%),24/36 (67%),8/14 (57%),2/5 (40%),5/11 (45%),30/56 (54%),6,12,62,106 mph,97 mph,83 mph,36,18,8,61,26,19
M.Keys,V.Azarenka,french_open,2021,3,106,0,0,37/56 (66%),19/37 (51%),7/19 (37%),2/6 (33%),1/2 (50%),18/50 (36%),17,33,44,111 mph,100 mph,82 mph,25,8,11,61,26,19
A.Pavlyuchenkova,A.Sabalenka,french_open,2021,3,140,2,2,46/74 (62%),28/46 (61%),14/28 (50%),9/14 (64%),5/10 (50%),30/66 (45%),22,16,72,106 mph,96 mph,80 mph,54,13,5,104,30,6
A.Sabalenka,A.Pavlyuchenkova,french_open,2021,3,140,6,8,36/66 (55%),26/36 (72%),10/30 (33%),9/11 (82%),3/7 (43%),32/74 (43%),41,39,68,120 mph,105 mph,92 mph,50,17,1,104,30,6
T.Zidansek,K.Siniakova,french_open,2021,3,161,0,4,55/88 (63%),32/55 (58%),16/33 (48%),9/16 (56%),4/4 (100%),30/73 (41%),17,31,78,102 mph,89 mph,78 mph,35,32,11,68,64,28
K.Siniakova,T.Zidansek,french_open,2021,3,161,0,4,44/73 (60%),28/44 (64%),15/29 (52%),14/20 (70%),5/10 (50%),40/88 (45%),30,45,83,104 mph,86 mph,85 mph,33,32,17,68,64,28
S.Cirstea,D.Kasatkina,french_open,2021,3,119,2,2,45/61 (74%),28/45 (62%),7/16 (44%),9/17 (53%),5/11 (45%),30/58 (52%),31,20,65,106 mph,100 mph,81 mph,33,23,8,59,42,17
D.Kasatkina,S.Cirstea,french_open,2021,3,119,2,3,39/58 (67%),26/39 (67%),2/19 (11%),4/4 (100%),2/6 (33%),26/61 (43%),17,15,54,108 mph,86 mph,72 mph,26,19,9,59,42,17
P.Hercog,M.Vondrousova,french_open,2021,3,109,1,2,26/47 (55%),15/26 (58%),12/21 (57%),12/18 (67%),0/6 (0%),20/62 (32%),13,35,47,114 mph,106 mph,83 mph,20,17,10,54,34,20
M.Vondrousova,P.Hercog,french_open,2021,3,109,3,1,40/62 (65%),29/40 (73%),13/22 (59%),4/8 (50%),3/6 (50%),20/47 (43%),12,14,62,107 mph,93 mph,76 mph,34,17,10,54,34,20
P.Badosa,A.Bogdan,french_open,2021,3,237,0,5,80/110 (73%),45/80 (56%),12/30 (40%),7/16 (44%),6/22 (27%),59/127 (46%),36,59,116,114 mph,96 mph,82 mph,38,39,39,91,76,69
