player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,distance_per_pt,avg_1st_serve,avg_2nd_serve,avg_serve_overall,fastest_1st_serve,fastest_2nd_serve,return_winners,approach_winners,approach_forced_errors,approach_unforced_errors,drop_shot_winners,drop_shot forced_errors,drop_shot unforced_errors,ground_stroke_winners,ground_stroke_forced_errors,ground_stroke_unforced_errors,lob_winners,lob_forced_errors,lob_unforced_errors,overhead_winners,overhead_forced_errors,overhead_unforced_errors,passing_winners,passing_forced_errors,passing_unforced_errors,volley_winners,volley_forced_errors,volley_unforced_errors
M. KEYS,L. DAVIS,wimbledon,2021,2,106,4,2,33/52 (63%),25/33 (76%),10/19 (53%),5/8 (63%),4/7 (57%),27/54 (50%),22,13,62,20.2 m66.3 ft,4,0,4,0,0,6,4,0,1,0,0,0,13,4,10,0,0,0,0,0,0,0,1,0,1,0,0
V. GOLUBIC,D. COLLINS,wimbledon,2021,2,85,0,2,26/43 (60%),20/26 (77%),8/17 (47%),8/9 (89%),6/12 (50%),28/42 (67%),21,10,56,24.6 m80.7 ft,0,0,0,0,0,3,1,0,1,3,0,0,11,5,7,0,1,0,2,0,0,1,0,0,3,0,0
D. COLLINS,V. GOLUBIC,wimbledon,2021,2,85,0,4,18/42 (43%),10/18 (56%),4/24 (17%),2/8 (25%),1/3 (33%),15/43 (35%),9,27,29,22.8 m74.8 ft,0,0,0,1,0,2,0,0,3,0,0,0,7,4,19,0,0,0,1,0,0,0,1,0,0,0,1
M. BRENGLE,S. KENIN,wimbledon,2021,2,94,0,2,37/47 (79%),23/37 (62%),5/10 (50%),2/5 (40%),6/7 (86%),27/47 (57%),6,7,55,25.6 m84.0 ft,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,0,0,0,0,1,2,0,0,0,0
S. KENIN,M. BRENGLE,wimbledon,2021,2,94,0,2,37/47 (79%),18/37 (49%),2/10 (20%),8/13 (62%),3/3 (100%),19/47 (40%),20,41,39,22.7 m74.3 ft,0,0,0,1,0,3,1,0,1,1,0,5,12,4,32,0,0,0,0,0,0,2,0,0,3,0,1
I. SWIATEK,V. ZVONAREVA,wimbledon,2021,2,94,4,1,30/48 (63%),23/30 (77%),8/18 (44%),2/3 (67%),5/11 (45%),24/46 (52%),16,14,55,23.6 m77.3 ft,3,1,4,1,0,0,0,0,0,0,0,0,10,5,12,0,0,1,0,0,0,1,1,0,0,0,0
V. ZVONAREVA,I. SWIATEK,wimbledon,2021,2,94,1,2,36/46 (78%),20/36 (56%),2/10 (20%),7/13 (54%),1/4 (25%),17/48 (35%),10,16,39,22.9 m75.2 ft,1,0,1,0,0,1,4,0,1,0,0,0,4,15,11,0,0,0,0,0,1,0,2,0,1,2,1
I. BEGU,P. MARTIC,wimbledon,2021,2,207,6,1,78/99 (79%),51/78 (65%),9/21 (43%),15/21 (71%),6/11 (55%),49/108 (45%),40,25,109,31.3 m102.8 ft,6,0,6,1,1,2,1,0,1,5,0,0,17,9,21,2,0,0,2,0,0,2,4,1,3,0,1
P. MARTIC,I. BEGU,wimbledon,2021,2,207,5,3,65/108 (60%),40/65 (62%),19/43 (44%),24/30 (80%),4/6 (67%),39/99 (39%),42,44,98,30.6 m100.3 ft,5,0,5,0,0,4,4,0,1,3,1,2,14,7,37,1,2,0,4,0,0,1,3,0,10,0,1
O. JABEUR,V. WILLIAMS,wimbledon,2021,2,133,4,1,26/57 (46%),20/26 (77%),18/31 (58%),4/7 (57%),5/12 (42%),39/76 (51%),25,19,77,24.1 m79.0 ft,4,0,4,0,0,5,2,0,0,8,0,5,8,12,11,0,0,1,0,0,0,3,1,0,0,0,1
V. WILLIAMS,O. JABEUR,wimbledon,2021,2,133,0,3,46/76 (61%),26/46 (57%),11/30 (37%),8/12 (67%),1/6 (17%),19/57 (33%),15,36,56,22.8 m74.7 ft,0,0,0,0,0,3,0,0,0,0,0,0,11,8,32,0,0,0,0,0,0,1,0,1,3,0,0
L. PATTINAMA KERKHOVE,G. MUGURUZA,wimbledon,2021,2,105,0,5,38/61 (62%),23/38 (61%),6/23 (26%),4/6 (67%),1/4 (25%),10/44 (23%),10,19,39,22.8 m74.7 ft,0,0,0,1,0,1,2,1,1,0,0,0,4,18,13,0,0,0,0,0,0,2,0,0,1,0,0
G. MUGURUZA,L. PATTINAMA KERKHOVE,wimbledon,2021,2,105,7,1,27/44 (61%),22/27 (81%),12/17 (71%),4/7 (57%),4/12 (33%),32/61 (52%),22,17,66,22.2 m72.7 ft,6,1,7,2,0,0,3,0,1,2,0,0,7,4,15,1,0,0,0,0,0,0,1,0,0,0,0
M. SAKKARI,S. ROGERS,wimbledon,2021,2,160,6,5,55/87 (63%),36/55 (65%),12/32 (38%),9/13 (69%),2/6 (33%),28/73 (38%),24,29,76,24.1 m79.2 ft,6,0,6,1,0,2,1,1,0,1,0,4,12,23,20,1,2,0,0,0,0,0,3,0,2,0,0
S. ROGERS,M. SAKKARI,wimbledon,2021,2,160,1,2,51/73 (70%),34/51 (67%),11/22 (50%),14/20 (70%),4/8 (50%),39/87 (45%),18,20,84,23.9 m78.4 ft,1,0,1,0,0,1,2,0,1,0,0,0,11,16,16,0,0,0,0,0,0,2,3,0,2,1,1
C. LIU,E. RYBAKINA,wimbledon,2021,2,130,5,4,39/60 (65%),27/39 (69%),8/21 (38%),2/2 (100%),1/3 (33%),24/70 (34%),13,18,59,21.4 m70.3 ft,5,0,5,1,0,2,0,0,0,0,0,1,5,11,13,0,0,0,0,0,0,1,4,0,1,0,0
E. RYBAKINA,C. LIU,wimbledon,2021,2,130,7,4,35/70 (50%),29/35 (83%),17/35 (49%),13/18 (72%),3/3 (100%),25/60 (42%),28,23,71,20.0 m65.6 ft,6,1,7,0,0,3,1,1,1,1,0,1,15,6,17,0,0,0,0,0,0,0,1,0,4,0,0
E. ALEXANDROVA,M. OSORIO SERRANO,wimbledon,2021,2,133,6,4,38/62 (61%),21/38 (55%),12/24 (50%),13/23 (57%),2/7 (29%),28/71 (39%),22,24,61,22.6 m74.0 ft,5,1,6,0,0,1,4,1,2,2,0,2,7,20,15,0,0,0,0,0,0,0,0,0,3,3,1
M. OSORIO SERRANO,E. ALEXANDROVA,wimbledon,2021,2,133,1,1,49/71 (69%),33/49 (67%),10/22 (45%),0/2 (0%),5/9 (56%),29/62 (47%),4,13,72,23.5 m77.1 ft,1,0,1,0,0,0,0,0,0,1,0,3,2,17,7,0,1,1,0,0,0,0,0,0,0,0,1
K. BOULTER,A. SABALENKA,wimbledon,2021,2,180,3,2,57/92 (62%),32/57 (56%),19/35 (54%),14/19 (74%),3/12 (25%),33/88 (38%),23,14,84,22.9 m75.1 ft,3,0,3,0,0,1,2,0,1,0,0,0,7,25,10,3,0,0,2,0,0,2,4,1,4,0,0
A. SABALENKA,K. BOULTER,wimbledon,2021,2,180,10,6,54/88 (61%),36/54 (67%),19/34 (56%),10/20 (50%),5/6 (83%),41/92 (45%),27,30,96,22.7 m74.3 ft,9,1,10,1,0,2,0,0,1,0,0,1,11,10,20,0,0,0,1,0,0,2,2,0,2,1,2
A. BARTY,K. SINIAKOVA,wimbledon,2021,3,151,8,0,49/79 (62%),33/49 (67%),17/30 (57%),13/18 (72%),4/13 (31%),33/72 (46%),26,23,83,26.1 m85.6 ft,8,0,8,1,0,2,0,0,2,0,0,1,9,12,19,0,3,0,1,0,0,3,4,0,4,0,1
K. SINIAKOVA,A. BARTY,wimbledon,2021,3,151,3,5,40/72 (56%),27/40 (68%),12/32 (38%),15/23 (65%),2/7 (29%),29/79 (37%),21,23,68,25.5 m83.5 ft,3,0,3,0,0,2,2,0,0,1,0,1,8,17,15,0,1,0,1,0,0,2,5,0,4,0,2
A. SEVASTOVA,B. KREJCIKOVA,wimbledon,2021,3,218,4,7,69/106 (65%),51/69 (74%),14/37 (38%),13/18 (72%),4/11 (36%),43/112 (38%),27,31,108,26.5 m86.8 ft,4,0,4,2,0,1,1,0,0,3,0,1,12,11,21,0,1,0,2,0,0,3,9,2,0,0,0
B. KREJCIKOVA,A. SEVASTOVA,wimbledon,2021,3,218,4,5,65/112 (58%),46/65 (71%),23/47 (49%),35/44 (80%),4/9 (44%),41/106 (39%),44,57,110,24.3 m79.7 ft,4,0,4,0,0,1,3,0,5,5,0,3,16,7,44,0,2,0,2,0,0,2,4,0,12,1,0
S. CIRSTEA,E. RADUCANU,wimbledon,2021,3,149,2,3,50/97 (52%),33/50 (66%),16/47 (34%),10/17 (59%),2/3 (67%),16/52 (31%),18,18,65,24.6 m80.8 ft,2,0,2,2,1,0,2,0,0,1,0,0,10,22,15,0,0,0,0,0,0,0,2,0,0,1,0
E. RADUCANU,S. CIRSTEA,wimbledon,2021,3,149,4,4,35/52 (67%),29/35 (83%),7/17 (41%),4/7 (57%),5/16 (31%),48/97 (49%),30,17,84,25.9 m84.8 ft,4,0,4,0,1,2,1,0,0,0,0,0,17,12,12,1,3,0,0,0,0,5,3,0,1,0,1
J. OSTAPENKO,A. TOMLJANOVIC,wimbledon,2021,3,170,2,8,48/86 (56%),28/48 (58%),16/38 (42%),8/12 (67%),5/6 (83%),36/84 (43%),26,31,80,20.1 m65.9 ft,2,0,2,0,0,2,2,0,0,2,0,1,13,19,22,0,0,0,0,0,0,1,3,0,6,2,0
A. TOMLJANOVIC,J. OSTAPENKO,wimbledon,2021,3,170,3,2,58/84 (69%),36/58 (62%),12/26 (46%),4/5 (80%),7/13 (54%),42/86 (49%),15,11,90,21.8 m71.4 ft,3,0,3,1,0,4,1,0,0,0,0,0,9,28,9,0,0,0,0,0,0,1,1,0,0,0,0
M. LINETTE,P. BADOSA,wimbledon,2021,3,221,4,2,74/121 (61%),48/74 (65%),18/47 (38%),18/20 (90%),3/9 (33%),38/100 (38%),39,42,104,21.8 m71.4 ft,4,0,4,1,0,3,0,0,0,3,0,3,22,20,37,1,0,0,2,0,0,1,1,0,5,1,0
P. BADOSA,M. LINETTE,wimbledon,2021,3,221,8,7,59/100 (59%),44/59 (75%),18/41 (44%),6/11 (55%),5/17 (29%),55/121 (45%),36,38,117,22.7 m74.4 ft,8,0,8,0,1,2,2,0,3,0,0,0,24,9,26,0,2,1,0,0,0,0,5,1,1,0,0
K. MUCHOVA,A. PAVLYUCHENKOVA,wimbledon,2021,3,144,3,1,37/62 (60%),23/37 (62%),10/25 (40%),10/16 (63%),7/18 (39%),44/82 (54%),20,16,77,23.2 m76.0 ft,3,0,3,0,0,0,2,0,2,4,0,1,5,15,11,0,1,0,0,0,0,1,1,0,5,3,1
A. PAVLYUCHENKOVA,K. MUCHOVA,wimbledon,2021,3,144,1,5,53/82 (65%),28/53 (53%),10/29 (34%),11/20 (55%),4/6 (67%),29/62 (47%),21,34,67,22.2 m73.0 ft,1,0,1,0,0,3,2,0,3,2,0,2,9,14,22,0,0,0,3,0,0,1,2,0,3,0,2
K. JUVAN,C. GAUFF,wimbledon,2021,3,108,1,2,31/50 (62%),18/31 (58%),5/19 (26%),8/21 (38%),2/6 (33%),22/58 (38%),17,21,45,25.1 m82.3 ft,1,0,1,3,0,1,0,0,0,0,0,2,5,8,14,1,0,1,0,0,0,1,5,0,6,1,2
C. GAUFF,K. JUVAN,wimbledon,2021,3,108,5,4,33/58 (57%),23/33 (70%),13/25 (52%),14/21 (67%),5/7 (71%),27/50 (54%),21,17,63,24.2 m79.3 ft,5,0,5,1,1,1,1,0,0,0,0,1,5,6,12,0,0,0,0,0,0,5,1,0,3,0,0
A. KERBER,A. SASNOVICH,wimbledon,2021,3,121,6,2,40/59 (68%),32/40 (80%),9/19 (47%),8/8 (100%),5/9 (56%),31/62 (50%),22,7,72,22.2 m72.8 ft,5,1,6,1,0,2,1,0,0,0,0,0,10,5,5,0,0,0,0,0,0,3,2,0,1,0,0
A. SASNOVICH,A. KERBER,wimbledon,2021,3,121,3,5,36/62 (58%),20/36 (56%),11/26 (42%),10/17 (59%),2/4 (50%),18/59 (31%),26,25,49,22.0 m72.2 ft,3,0,3,0,0,5,6,1,0,4,0,2,11,12,17,0,0,0,0,0,0,0,2,0,2,1,1
KA. PLISKOVA,T. MARTINCOVA,wimbledon,2021,3,144,7,9,54/77 (70%),39/54 (72%),9/23 (39%),10/12 (83%),4/12 (33%),32/67 (48%),30,36,80,25.0 m81.9 ft,6,1,7,0,0,2,1,0,0,3,0,1,17,7,26,0,0,0,0,0,0,0,3,0,2,0,0
T. MARTINCOVA,KA. PLISKOVA,wimbledon,2021,3,144,1,4,42/67 (63%),24/42 (57%),11/25 (44%),6/7 (86%),1/8 (13%),29/77 (38%),11,21,64,27.4 m89.9 ft,1,0,1,1,0,0,0,0,1,0,0,0,5,17,15,0,0,0,1,0,0,2,2,1,1,0,0
L. SAMSONOVA,S. STEPHENS,wimbledon,2021,3,175,4,5,39/78 (50%),25/39 (64%),19/39 (49%),6/12 (50%),6/14 (43%),46/97 (47%),31,44,90,23.1 m75.9 ft,4,0,4,2,1,3,5,0,2,2,0,0,12,9,35,0,0,0,0,0,1,3,1,0,2,2,1
S. STEPHENS,L. SAMSONOVA,wimbledon,2021,3,175,0,4,66/97 (68%),41/66 (62%),10/31 (32%),2/5 (40%),5/7 (71%),34/78 (44%),8,17,85,25.0 m82.0 ft,0,0,0,0,0,1,0,0,0,1,0,0,7,21,13,0,0,0,0,0,0,0,3,0,0,0,0
E. MERTENS,M. KEYS,wimbledon,2021,3,123,1,6,34/63 (54%),24/34 (71%),11/29 (38%),4/6 (67%),2/4 (50%),20/60 (33%),9,17,55,23.1 m75.8 ft,1,0,1,0,0,1,1,0,0,0,0,0,4,10,11,2,0,0,0,0,0,1,1,0,0,1,0
M. KEYS,E. MERTENS,wimbledon,2021,3,123,2,1,40/60 (67%),29/40 (73%),11/20 (55%),9/13 (69%),4/8 (50%),28/63 (44%),29,19,68,22.7 m74.6 ft,2,0,2,2,0,5,1,0,2,0,0,2,19,9,14,0,0,0,3,0,0,0,2,0,2,0,0
V. GOLUBIC,M. BRENGLE,wimbledon,2021,3,117,2,0,38/57 (67%),23/38 (61%),12/19 (63%),17/23 (74%),6/11 (55%),35/60 (58%),31,24,70,28.3 m92.7 ft,2,0,2,0,0,1,4,1,0,6,0,0,7,8,23,3,0,0,2,0,1,3,0,0,4,2,0
M. BRENGLE,V. GOLUBIC,wimbledon,2021,3,117,0,2,50/60 (83%),21/50 (42%),4/10 (40%),4/19 (21%),1/7 (14%),22/57 (39%),11,19,47,28.3 m92.8 ft,0,0,0,0,0,1,0,0,0,0,0,0,7,8,15,0,0,0,0,0,1,2,4,0,2,2,1
I. SWIATEK,I. BEGU,wimbledon,2021,3,84,2,0,21/38 (55%),18/21 (86%),12/17 (71%),1/2 (50%),5/9 (56%),29/46 (63%),11,6,59,22.4 m73.4 ft,2,0,2,0,0,1,1,0,0,0,0,0,7,3,6,1,1,0,0,0,0,0,1,0,0,0,0
I. BEGU,I. SWIATEK,wimbledon,2021,3,84,1,7,28/46 (61%),12/28 (43%),5/18 (28%),3/4 (75%),0/3 (0%),8/38 (21%),9,25,25,22.5 m73.8 ft,1,0,1,1,1,2,0,0,0,1,0,1,3,10,17,0,0,0,0,0,0,1,0,0,1,0,0
O. JABEUR,G. MUGURUZA,wimbledon,2021,3,220,6,4,58/100 (58%),40/58 (69%),20/42 (48%),18/22 (82%),5/29 (17%),56/120 (47%),44,27,116,25.1 m82.4 ft,6,0,6,2,0,4,3,1,0,2,2,4,20,26,19,0,0,0,0,0,0,4,2,0,7,0,0
G. MUGURUZA,O. JABEUR,wimbledon,2021,3,220,4,2,76/120 (63%),47/76 (62%),17/44 (39%),16/34 (47%),3/12 (25%),40/100 (40%),32,26,104,24.3 m79.7 ft,3,1,4,0,0,2,0,0,2,0,0,1,19,23,21,1,2,0,3,0,0,1,4,0,4,0,0
S. ROGERS,E. RYBAKINA,wimbledon,2021,3,112,1,3,31/52 (60%),17/31 (55%),11/21 (52%),6/6 (100%),0/3 (0%),19/60 (32%),12,10,47,20.9 m68.5 ft,1,0,1,1,0,2,0,0,0,1,0,0,7,17,7,0,0,0,0,0,0,1,1,0,1,0,0
E. RYBAKINA,S. ROGERS,wimbledon,2021,3,112,8,3,32/60 (53%),27/32 (84%),14/28 (50%),4/7 (57%),3/8 (38%),24/52 (46%),22,16,65,20.1 m65.9 ft,7,1,8,1,0,2,1,0,0,0,0,0,10,8,9,0,0,0,0,0,0,0,0,3,2,0,1
M. OSORIO SERRANO,A. SABALENKA,wimbledon,2021,3,116,0,6,34/53 (64%),16/34 (47%),5/19 (26%),5/7 (71%),2/10 (20%),28/63 (44%),9,17,49,23.4 m76.6 ft,0,0,0,0,0,0,0,0,0,2,0,1,4,13,10,0,0,0,0,0,0,1,6,0,2,0,0
A. SABALENKA,M. OSORIO SERRANO,wimbledon,2021,3,116,5,6,30/63 (48%),16/30 (53%),19/33 (58%),13/20 (65%),6/9 (67%),32/53 (60%),22,31,67,22.1 m72.5 ft,3,2,5,0,0,3,1,0,0,3,0,0,7,3,21,0,0,0,1,0,1,1,1,0,4,0,3
A. BARTY,B. KREJCIKOVA,wimbledon,2021,4,149,7,5,41/77 (53%),32/41 (78%),16/36 (44%),7/9 (78%),4/7 (57%),33/72 (46%),22,24,81,26.2 m85.9 ft,7,0,7,3,0,0,1,0,0,1,1,0,5,8,17,2,1,0,0,0,0,3,5,2,0,1,0
B. KREJCIKOVA,A. BARTY,wimbledon,2021,4,149,4,4,49/72 (68%),30/49 (61%),9/23 (39%),14/24 (58%),2/10 (20%),29/77 (38%),19,22,68,24.6 m80.7 ft,4,0,4,1,0,0,1,0,0,0,1,2,9,16,15,0,0,0,1,0,0,0,5,0,3,2,1
E. RADUCANU,A. TOMLJANOVIC,wimbledon,2021,4,97,2,3,23/42 (55%),16/23 (70%),9/19 (47%),0/1 (0%),0/5 (0%),19/55 (35%),6,25,44,26.8 m87.8 ft,2,0,2,1,1,0,0,0,0,0,0,1,2,13,20,0,1,0,0,0,0,0,0,1,0,0,0
A. TOMLJANOVIC,E. RADUCANU,wimbledon,2021,4,97,1,5,31/55 (56%),23/31 (74%),13/24 (54%),2/3 (67%),2/4 (50%),17/42 (40%),4,17,53,28.9 m94.7 ft,1,0,1,0,0,0,0,0,0,0,0,0,3,11,12,0,0,0,0,0,0,0,0,0,0,1,0
P. BADOSA,K. MUCHOVA,wimbledon,2021,4,138,2,6,44/69 (64%),30/44 (68%),11/25 (44%),13/16 (81%),2/5 (40%),25/69 (36%),16,30,66,24.8 m81.4 ft,2,0,2,0,0,0,0,0,1,0,0,0,8,8,23,0,0,0,2,0,0,3,2,0,1,0,0
K. MUCHOVA,P. BADOSA,wimbledon,2021,4,138,1,3,47/69 (68%),34/47 (72%),10/22 (45%),10/16 (63%),3/7 (43%),28/69 (41%),21,24,72,25.7 m84.3 ft,0,1,1,0,0,1,0,0,0,2,0,2,9,9,19,2,2,0,1,0,0,0,5,0,6,1,0
C. GAUFF,A. KERBER,wimbledon,2021,4,122,6,2,35/62 (56%),20/35 (57%),14/27 (52%),10/19 (53%),2/6 (33%),23/60 (38%),25,27,57,23.5 m77.0 ft,6,0,6,1,0,0,2,0,1,1,0,2,12,9,22,0,0,0,1,0,0,0,0,0,2,2,0
A. KERBER,C. GAUFF,wimbledon,2021,4,122,3,5,42/60 (70%),28/42 (67%),9/18 (50%),6/6 (100%),4/5 (80%),28/62 (45%),22,20,65,24.4 m80.1 ft,3,0,3,0,0,3,1,0,0,0,0,0,11,6,15,1,0,0,2,0,0,3,4,0,1,0,0
KA. PLISKOVA,L. SAMSONOVA,wimbledon,2021,4,114,10,6,35/61 (57%),29/35 (83%),11/26 (42%),3/5 (60%),4/6 (67%),26/53 (49%),17,19,66,20.4 m66.9 ft,8,2,10,0,0,1,1,0,1,0,0,0,4,7,11,0,0,0,0,0,0,1,2,1,1,0,0
L. SAMSONOVA,KA. PLISKOVA,wimbledon,2021,4,114,2,5,27/53 (51%),14/27 (52%),13/26 (50%),6/12 (50%),1/5 (20%),21/61 (34%),11,25,48,19.5 m63.8 ft,2,0,2,0,0,2,1,0,2,0,0,1,7,12,15,0,0,0,0,0,0,0,1,0,1,0,2
M. KEYS,V. GOLUBIC,wimbledon,2021,4,155,8,4,51/83 (61%),31/51 (61%),14/32 (44%),15/26 (58%),3/5 (60%),26/72 (36%),27,32,71,23.6 m77.5 ft,7,1,8,1,0,2,0,0,2,2,0,0,12,13,26,0,0,0,2,0,0,1,4,0,1,1,0
V. GOLUBIC,M. KEYS,wimbledon,2021,4,155,2,1,48/72 (67%),33/48 (69%),13/24 (54%),11/14 (79%),4/10 (40%),38/83 (46%),28,9,84,24.7 m81.1 ft,2,0,2,0,0,1,1,0,0,5,1,0,10,20,8,1,2,0,1,0,0,5,4,0,3,0,0
I. SWIATEK,O. JABEUR,wimbledon,2021,4,157,2,5,31/68 (46%),18/31 (58%),14/37 (38%),10/18 (56%),3/15 (20%),33/89 (37%),20,27,65,22.5 m73.9 ft,2,0,2,0,0,1,3,0,1,0,0,1,13,16,19,0,0,0,0,0,0,1,4,0,1,1,1
O. JABEUR,I. SWIATEK,wimbledon,2021,4,157,9,3,52/89 (58%),39/52 (75%),17/37 (46%),8/15 (53%),7/7 (100%),36/68 (53%),30,23,92,23.6 m77.4 ft,9,0,9,3,0,4,0,0,1,2,0,4,11,12,10,0,0,1,1,0,2,1,2,0,3,1,2
E. RYBAKINA,A. SABALENKA,wimbledon,2021,4,175,10,7,49/87 (56%),36/49 (73%),11/38 (29%),10/13 (77%),3/6 (50%),34/88 (39%),23,30,81,19.2 m62.9 ft,10,0,10,0,0,3,2,0,0,1,0,0,6,15,21,0,0,0,0,0,0,2,2,0,2,1,2
A. SABALENKA,E. RYBAKINA,wimbledon,2021,4,175,10,2,54/88 (61%),36/54 (67%),18/34 (53%),8/13 (62%),5/11 (45%),40/87 (46%),33,31,94,19.1 m62.8 ft,10,0,10,2,0,1,1,0,0,1,0,3,15,11,25,0,1,0,1,0,0,0,3,0,3,1,1
A. BARTY,A. TOMLJANOVIC,wimbledon,2021,5,102,5,4,26/46 (57%),18/26 (69%),11/20 (55%),6/7 (86%),6/11 (55%),32/56 (57%),23,22,61,26.6 m87.3 ft,5,0,5,0,0,0,2,0,1,0,0,0,13,8,15,0,1,0,1,1,0,2,0,2,0,0,0
A. TOMLJANOVIC,A. BARTY,wimbledon,2021,5,102,2,2,34/56 (61%),16/34 (47%),8/22 (36%),4/7 (57%),2/4 (50%),17/46 (37%),5,20,41,27.3 m89.5 ft,2,0,2,0,0,0,0,0,0,0,0,1,2,6,17,0,0,0,0,0,0,0,2,0,1,1,0
K. MUCHOVA,A. KERBER,wimbledon,2021,5,112,1,1,26/45 (58%),16/26 (62%),7/19 (37%),8/16 (50%),1/8 (13%),25/67 (37%),9,27,48,28.7 m94.0 ft,1,0,1,0,0,0,0,0,4,2,0,1,1,12,21,1,0,0,0,0,0,0,1,0,4,0,0
A. KERBER,K. MUCHOVA,wimbledon,2021,5,112,1,4,41/67 (61%),28/41 (68%),14/26 (54%),6/10 (60%),4/6 (67%),22/45 (49%),15,21,64,27.5 m90.1 ft,1,0,1,0,0,1,0,0,0,2,0,0,7,10,17,0,0,0,1,1,0,3,2,0,1,0,0
KA. PLISKOVA,V. GOLUBIC,wimbledon,2021,5,116,8,3,36/52 (69%),30/36 (83%),9/16 (56%),17/21 (81%),4/10 (40%),32/64 (50%),28,19,71,28.8 m94.5 ft,7,1,8,3,0,1,0,0,0,1,0,0,11,6,14,0,0,0,1,0,0,2,4,1,2,2,1
V. GOLUBIC,KA. PLISKOVA,wimbledon,2021,5,116,0,3,39/64 (61%),22/39 (56%),10/25 (40%),11/18 (61%),0/3 (0%),13/52 (25%),10,16,45,29.8 m97.8 ft,0,0,0,0,0,0,0,0,1,4,0,0,2,12,10,0,0,1,1,0,1,2,3,0,1,1,0
O. JABEUR,A. SABALENKA,wimbledon,2021,5,133,4,2,42/65 (65%),31/42 (74%),7/23 (30%),6/8 (75%),1/7 (14%),23/68 (34%),22,11,61,19.8 m65.0 ft,4,0,4,2,0,2,0,0,0,2,0,5,6,15,4,0,0,0,2,0,0,3,3,0,3,0,0
A. SABALENKA,O. JABEUR,wimbledon,2021,5,133,3,5,41/68 (60%),34/41 (83%),11/27 (41%),11/20 (55%),3/10 (30%),27/65 (42%),27,20,72,20.0 m65.7 ft,3,0,3,2,0,4,1,0,0,1,0,2,16,6,11,0,1,0,0,0,0,2,0,0,2,0,2
A. BARTY,A. KERBER,wimbledon,2021,6,140,8,4,41/74 (55%),36/41 (88%),15/33 (45%),10/14 (71%),2/5 (40%),26/66 (39%),38,16,77,27.4 m89.9 ft,8,0,8,2,0,1,5,0,0,1,0,0,14,22,12,0,0,0,2,1,0,2,0,0,4,0,0
A. KERBER,A. BARTY,wimbledon,2021,6,140,0,3,36/66 (55%),23/36 (64%),17/30 (57%),2/4 (50%),1/6 (17%),23/74 (31%),16,23,63,26.9 m88.4 ft,0,0,0,0,0,2,0,0,0,0,0,0,13,8,20,1,0,0,1,0,0,1,0,0,0,0,0
KA. PLISKOVA,A. SABALENKA,wimbledon,2021,6,183,14,4,54/83 (65%),42/54 (78%),20/29 (69%),3/11 (27%),2/10 (20%),34/100 (34%),32,17,96,21.0 m69.0 ft,14,0,14,0,0,6,2,0,1,0,0,1,11,8,10,0,0,0,0,0,0,2,3,0,3,0,1
A. SABALENKA,KA. PLISKOVA,wimbledon,2021,6,183,18,4,67/100 (67%),50/67 (75%),16/33 (48%),14/21 (67%),1/1 (100%),21/83 (25%),38,20,87,21.0 m69.0 ft,16,2,18,2,0,2,2,0,0,2,2,1,9,20,15,0,0,0,1,0,0,2,0,0,2,2,0
A. BARTY,KA. PLISKOVA,wimbledon,2021,7,166,7,7,54/89 (61%),36/54 (67%),19/35 (54%),8/15 (53%),6/8 (75%),33/77 (43%),30,29,88,28.9 m94.7 ft,7,0,7,2,0,0,1,1,1,0,0,0,12,9,19,1,1,0,4,0,0,1,2,0,2,0,2
KA. PLISKOVA,A. BARTY,wimbledon,2021,7,166,6,5,54/77 (70%),36/54 (67%),8/23 (35%),13/21 (62%),4/5 (80%),34/89 (38%),27,32,78,28.4 m93.2 ft,6,0,6,0,0,3,0,0,0,0,0,0,10,13,26,0,0,0,3,0,0,3,0,0,5,3,1
