player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,distance_per_pt,avg_1st_serve,avg_2nd_serve,avg_serve_overall,fastest_1st_serve,fastest_2nd_serve,return_winners,approach_winners,approach_forced_errors,approach_unforced_errors,drop_shot_winners,drop_shot forced_errors,drop_shot unforced_errors,ground_stroke_winners,ground_stroke_forced_errors,ground_stroke_unforced_errors,lob_winners,lob_forced_errors,lob_unforced_errors,overhead_winners,overhead_forced_errors,overhead_unforced_errors,passing_winners,passing_forced_errors,passing_unforced_errors,volley_winners,volley_forced_errors,volley_unforced_errors
L. PATTINAMA KERKHOVE,S. KUZNETSOVA,wimbledon,2021,1,105,0,3,29/50 (58%),23/29 (79%),10/21 (48%),7/8 (88%),4/11 (36%),25/55 (45%),15,17,58,18.2 m59.7 ft,0,0,0,3,0,1,4,0,1,1,0,0,6,7,13,0,0,0,0,0,0,0,1,0,1,0,0
F. FERRO,G. MUGURUZA,wimbledon,2021,1,74,0,2,20/44 (45%),11/20 (55%),1/24 (4%),1/3 (33%),1/1 (100%),8/30 (27%),7,22,20,23.9 m78.5 ft,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20,0,0,0,1,1,0,0,2,0,0,0,0
G. MUGURUZA,F. FERRO,wimbledon,2021,1,74,1,1,17/30 (57%),13/17 (76%),9/13 (69%),3/4 (75%),7/10 (70%),32/44 (73%),10,7,54,23.8 m78.0 ft,1,0,1,0,0,3,0,0,1,0,0,0,7,2,5,1,0,0,0,0,0,0,0,0,1,0,0
M. SAKKARI,A. RUS,wimbledon,2021,1,80,7,0,15/32 (47%),15/15 (100%),13/17 (76%),5/6 (83%),5/12 (42%),27/48 (56%),19,14,55,23.8 m78.0 ft,7,0,7,0,0,0,2,0,1,2,0,0,5,3,13,3,0,0,0,0,0,0,0,0,0,0,0
A. RUS,M. SAKKARI,wimbledon,2021,1,80,0,3,37/48 (77%),17/37 (46%),4/11 (36%),2/5 (40%),0/0 (0%),4/32 (13%),3,27,25,22.5 m73.7 ft,0,0,0,0,0,0,1,0,1,0,0,0,2,4,23,0,0,0,0,0,0,0,0,0,0,0,0
S. ROGERS,S. STOSUR,wimbledon,2021,1,170,2,6,51/82 (62%),36/51 (71%),14/31 (45%),10/22 (45%),7/16 (44%),43/88 (49%),22,23,93,24.2 m79.5 ft,2,0,2,1,0,1,2,1,1,1,0,0,7,5,13,0,3,0,1,0,1,7,3,1,1,1,1
S. STOSUR,S. ROGERS,wimbledon,2021,1,170,2,6,54/88 (61%),33/54 (61%),12/34 (35%),21/37 (57%),4/7 (57%),32/82 (39%),21,41,77,23.6 m77.5 ft,2,0,2,0,0,0,2,0,4,0,0,1,5,8,29,0,1,0,3,0,0,3,0,0,6,4,1
M. DOI,C. LIU,wimbledon,2021,1,228,1,3,58/110 (53%),39/58 (67%),25/52 (48%),14/20 (70%),4/16 (25%),47/118 (40%),35,31,111,24.0 m78.9 ft,1,0,1,1,0,0,6,0,1,1,0,1,23,20,25,0,0,0,2,0,0,0,4,1,1,0,0
C. LIU,M. DOI,wimbledon,2021,1,228,5,5,77/118 (65%),52/77 (68%),19/41 (46%),32/41 (78%),4/15 (27%),46/110 (42%),41,24,117,23.4 m76.7 ft,5,0,5,0,0,0,8,0,2,3,0,1,8,28,12,1,0,0,4,0,2,2,3,1,10,3,1
K. MLADENOVIC,E. RYBAKINA,wimbledon,2021,1,88,1,5,22/48 (46%),15/22 (68%),10/26 (38%),0/0 (0%),0/0 (0%),8/40 (20%),6,15,33,20.6 m67.5 ft,1,0,1,0,0,1,0,0,0,0,0,1,3,8,9,0,0,0,0,0,0,1,1,0,1,0,0
